X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF02457	67	101	69	61	64	184	DisA bacterial checkpoint controller nucleotide-binding	NA	NA	NA
PF01226	67	78	48	54	44	125	Formate/nitrite transporter	GO:0005215	GO:0006810	GO:0016020
PF06965	67	53	100	46	63	189	Na+/H+ antiporter 1	NA	GO:0006814,GO:0006885	GO:0016021
PF01796	67	50	63	28	60	69	DUF35 OB-fold domain, acyl-CoA-associated	NA	NA	NA
PF13574	67	32	45	29	38	51	Metallo-peptidase family M12B Reprolysin-like	NA	NA	NA
PF02568	67	39	44	24	40	103	Thiamine biosynthesis protein (ThiI)	GO:0004810	NA	NA
PF00708	66	50	67	49	47	119	Acylphosphatase	NA	NA	NA
PF12399	66	55	67	59	53	121	Branched-chain amino acid ATP-binding cassette transporter	NA	NA	NA
PF01739	66	56	77	61	75	217	CheR methyltransferase, SAM binding domain	NA	NA	NA
PF13288	66	25	44	29	38	82	DXP reductoisomerase C-terminal domain	NA	NA	NA
PF00356	66	54	62	47	59	111	Bacterial regulatory proteins, lacI family	GO:0003700	GO:0006355	NA
PF08484	66	38	52	31	38	57	C-methyltransferase C-terminal domain	NA	NA	NA
PF01161	66	66	45	67	59	125	Phosphatidylethanolamine-binding protein	NA	NA	NA
PF05115	66	9	39	34	23	12	Cytochrome B6-F complex subunit VI (PetL)	GO:0009055	NA	GO:0009512
PF13638	66	38	68	47	59	122	PIN domain	NA	NA	NA
PF00530	66	339	54	49	85	253	Scavenger receptor cysteine-rich domain	GO:0005044	NA	GO:0016020
PF00842	65	54	59	30	39	109	Alanine racemase, C-terminal domain	NA	NA	NA
PF00245	65	106	74	50	142	187	Alkaline phosphatase	GO:0016791	GO:0008152	NA
PF02806	65	36	43	29	41	88	Alpha amylase, C-terminal all-beta domain	GO:0003824,GO:0043169	GO:0005975	NA
PF03668	65	51	97	53	63	158	P-loop ATPase protein family	GO:0005524	NA	NA
PF12245	65	23	56	33	42	43	Bacterial Ig-like domain (group 3)	NA	NA	NA
PF01287	65	45	58	57	70	51	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	GO:0003723,GO:0003746,GO:0043022	GO:0006452,GO:0045901,GO:0045905	NA
PF03464	65	51	31	48	42	48	eRF1 domain 2	NA	NA	NA
PF03646	65	39	66	41	63	68	FlaG protein	NA	NA	NA
PF13528	65	50	84	37	49	143	Glycosyl transferase family 1	NA	NA	NA
PF12437	65	31	86	28	54	67	Glutamine synthetase type III N terminal	GO:0004356	NA	NA
PF05015	65	66	78	51	70	106	RelE-like toxin of type II toxin-antitoxin system HigB	NA	NA	NA
PF03006	65	52	56	55	60	133	Haemolysin-III related	NA	NA	GO:0016021
PF03551	65	66	59	36	60	120	Transcriptional regulator PadR-like family	NA	NA	NA
PF02127	65	67	54	41	75	166	Aminopeptidase I zinc metalloprotease (M18)	GO:0004177,GO:0008270	GO:0006508	NA
PF03435	65	65	66	56	64	139	Saccharopine dehydrogenase NADP binding domain	GO:0016491	GO:0055114	NA
PF03841	65	42	78	54	66	154	L-seryl-tRNA selenium transferase	NA	NA	NA
PF02130	65	31	53	36	47	99	Uncharacterized protein family UPF0054	GO:0004222	GO:0006364	NA
PF04228	65	29	62	39	45	97	Putative neutral zinc metallopeptidase	NA	NA	NA
PF07678	64	65	22	25	41	77	A-macroglobulin complement component	NA	NA	GO:0005615
PF00887	64	83	49	57	86	97	Acyl CoA binding protein	GO:0000062	NA	NA
PF08326	64	33	42	44	52	35	Acetyl-CoA carboxylase, central region	GO:0003989,GO:0005524	GO:0006633	NA
PF01256	64	58	82	73	64	220	Carbohydrate kinase	GO:0052855	NA	NA
PF00385	64	78	38	50	79	84	Chromo (CHRromatin Organisation MOdifier) domain	NA	NA	NA
PF07002	64	51	39	58	46	101	Copine	NA	NA	NA
PF13852	64	46	65	47	58	71	Protein of unknown function (DUF4197)	NA	NA	NA
PF02634	64	48	96	55	56	121	FdhD/NarQ family	GO:0016783	NA	NA
PF04324	64	22	89	22	33	75	BFD-like [2Fe-2S] binding domain	NA	NA	NA
PF02119	64	68	89	57	43	133	Flagellar P-ring protein	GO:0005198	GO:0071973	GO:0009428,GO:0030288
PF02843	64	35	59	37	41	106	Phosphoribosylglycinamide synthetase, C domain	GO:0004637	GO:0009113	NA
PF00745	64	22	34	18	32	53	Glutamyl-tRNAGlu reductase, dimerisation domain	GO:0008883,GO:0050661	GO:0033014,GO:0055114	NA
PF01075	64	65	88	37	52	192	Glycosyltransferase family 9 (heptosyltransferase)	GO:0016757	GO:0008152	NA
PF03241	64	33	49	43	53	70	4-hydroxyphenylacetate 3-hydroxylase C terminal	NA	NA	NA
PF03812	64	16	57	52	23	21	2-keto-3-deoxygluconate permease	GO:0015649	GO:0008643,GO:0046411	GO:0016021
PF02684	64	47	59	39	53	163	Lipid-A-disaccharide synthetase	GO:0008915	GO:0009245	NA
PF01420	64	51	77	41	61	224	Type I restriction modification DNA specificity domain	GO:0003677	GO:0006304	NA
PF08543	64	45	73	43	70	153	Phosphomethylpyrimidine kinase	NA	NA	NA
PF01020	64	57	47	41	96	39	Ribosomal L40e family	GO:0003735	GO:0006412	GO:0005840
PF04811	64	54	35	37	51	51	Sec23/Sec24 trunk domain	NA	GO:0006886,GO:0006888	GO:0030127
PF13406	64	63	89	41	66	161	Transglycosylase SLT domain	NA	NA	NA
PF00622	64	75	41	60	154	90	SPRY domain	GO:0005515	NA	NA
PF13249	64	28	71	24	33	69	Squalene-hopene cyclase N-terminal domain	NA	NA	NA
PF01878	63	33	59	41	35	84	EVE domain	NA	NA	NA
PF02661	63	56	61	50	73	170	Fic/DOC family	NA	NA	NA
PF02637	63	37	69	28	51	104	GatB domain	GO:0016884	NA	NA
PF12080	63	15	50	19	37	26	GldM C-terminal domain	NA	NA	NA
PF07927	63	35	43	31	51	86	HicA toxin of bacterial toxin-antitoxin,	GO:0003729	NA	NA
PF16499	63	79	66	68	94	73	Alpha galactosidase A	GO:0004553	GO:0005975	NA
PF02979	63	30	90	46	52	60	Nitrile hydratase, alpha chain	GO:0003824,GO:0046914	GO:0006807	NA
PF04886	63	122	101	92	107	359	PT repeat	NA	NA	NA
PF02403	63	41	55	32	39	66	Seryl-tRNA synthetase N-terminal domain	NA	NA	NA
PF08402	63	60	74	53	57	103	TOBE domain	GO:0005215,GO:0005524,GO:0016820	GO:0006810	GO:0043190
PF03755	63	32	54	26	38	75	YicC-like family, N-terminal region	NA	NA	NA
PF13481	62	45	54	41	55	186	AAA domain	NA	NA	NA
PF16694	62	42	85	57	30	89	Cytochrome P460	NA	NA	NA
PF01035	62	61	59	53	61	189	6-O-methylguanine DNA methyltransferase, DNA binding domain	GO:0003824	GO:0006281	NA
PF12801	62	84	71	78	75	170	4Fe-4S binding domain	NA	NA	NA
PF07944	62	41	84	29	50	105	Beta-L-arabinofuranosidase, GH127	NA	NA	NA
PF00876	62	90	22	61	80	127	Innexin	NA	NA	GO:0005921
PF00635	62	20	7	85	399	2820	MSP (Major sperm protein) domain	NA	NA	NA
PF01624	62	37	41	38	48	90	MutS domain I	GO:0005524,GO:0030983	GO:0006298	NA
PF12911	62	46	70	36	38	110	N-terminal TM domain of oligopeptide transport permease C	NA	NA	NA
PF01504	62	51	34	48	52	59	Phosphatidylinositol-4-phosphate 5-Kinase	GO:0016307	GO:0046488	NA
PF05544	62	63	68	43	43	181	Proline racemase	GO:0018112	NA	NA
PF00395	62	33	60	32	31	192	S-layer homology domain	NA	NA	NA
PF00264	62	57	36	43	284	54	Common central domain of tyrosinase	GO:0016491	GO:0008152	NA
PF02580	62	50	53	41	45	86	D-Tyr-tRNA(Tyr) deacylase	GO:0016788	GO:0019478	GO:0005737
PF03739	62	43	70	51	65	165	Predicted permease YjgP/YjgQ family	NA	NA	GO:0016021
PF13279	61	20	47	35	30	95	Thioesterase-like superfamily	NA	NA	NA
PF03471	61	70	66	72	61	146	Transporter associated domain	NA	NA	NA
PF12007	61	29	45	17	39	59	Protein of unknown function (DUF3501)	NA	NA	NA
PF12915	61	2	40	7	9	23	Protein of unknown function (DUF3833)	NA	NA	NA
PF08214	61	66	35	38	45	46	Histone acetylation protein	GO:0004402	GO:0006355,GO:0016573	NA
PF07717	61	63	34	43	62	92	Oligonucleotide/oligosaccharide-binding (OB)-fold	NA	NA	NA
PF08041	61	26	41	45	31	34	PetM family of cytochrome b6f complex subunit 7	NA	NA	GO:0009512
PF01599	61	52	52	64	107	45	Ribosomal protein S27a	GO:0003735	GO:0006412	GO:0005840
PF01963	61	52	51	37	54	98	TraB family	NA	NA	NA
PF02625	61	38	55	39	25	78	XdhC and CoxI family	NA	NA	NA
PF03159	61	52	27	30	55	55	XRN 5'-3' exonuclease N-terminus	GO:0003676,GO:0004527	NA	NA
PF02618	61	55	69	35	54	141	YceG-like family	NA	NA	NA
PF13541	60	66	60	34	54	185	Subunit ChlI of Mg-chelatase	NA	NA	NA
PF00775	60	29	62	38	34	83	Dioxygenase	GO:0003824,GO:0008199	GO:0006725,GO:0055114	NA
PF04325	60	62	60	96	52	81	Protein of unknown function (DUF465)	NA	NA	NA
PF02895	60	34	50	29	41	127	Signal transducing histidine kinase, homodimeric domain	GO:0000155,GO:0004673	GO:0000160,GO:0006935	GO:0005737
PF06050	60	169	44	160	161	271	2-hydroxyglutaryl-CoA dehydratase, D-component	NA	NA	NA
PF01810	60	51	79	46	53	205	LysE type translocator	NA	GO:0006865	GO:0016020
PF03473	60	50	63	32	45	112	MOSC domain	GO:0003824,GO:0030151,GO:0030170	NA	NA
PF04095	60	64	43	71	68	136	Nicotinate phosphoribosyltransferase (NAPRTase) family	NA	NA	NA
PF13634	60	116	58	41	45	104	Nucleoporin FG repeat region	NA	NA	NA
PF03693	60	36	53	42	35	48	Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH	NA	NA	NA
PF04185	60	63	121	117	106	203	Phosphoesterase family	GO:0016788	NA	NA
PF02530	60	26	47	43	50	43	Porin subfamily	GO:0015288	GO:0006810	GO:0016020
PF05185	60	104	38	79	96	91	PRMT5 arginine-N-methyltransferase	GO:0008168	GO:0006479	NA
PF08083	60	61	39	26	55	42	PROCN (NUC071) domain	NA	GO:0000398	NA
PF14765	60	55	64	57	68	106	Polyketide synthase dehydratase	NA	NA	NA
PF03939	60	43	33	26	141	28	Ribosomal protein L23, N-terminal domain	NA	NA	NA
PF04957	60	6	57	16	38	38	Ribosome modulation factor	NA	NA	NA
PF03631	60	50	57	39	35	144	Virulence factor BrkB	NA	NA	NA
PF06968	59	40	46	21	33	84	Biotin and Thiamin Synthesis associated domain	NA	NA	NA
PF01321	59	45	86	55	79	153	Creatinase/Prolidase N-terminal domain	GO:0016787	NA	NA
PF12973	59	35	54	27	35	84	ChrR Cupin-like domain	NA	NA	NA
PF02670	59	37	70	31	33	107	1-deoxy-D-xylulose 5-phosphate reductoisomerase	GO:0070402	GO:0055114	NA
PF03463	59	51	31	43	59	47	eRF1 domain 1	NA	NA	NA
PF13276	59	51	57	42	42	171	HTH-like domain	NA	NA	NA
PF16881	59	20	51	40	46	38	N-terminal domain of lipoyl synthase of Radical_SAM family	NA	NA	NA
PF09754	59	24	37	27	52	38	PAC2 family	NA	NA	NA
PF13893	59	64	21	53	87	63	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	NA	NA	NA
PF01253	59	54	54	40	60	75	Translation initiation factor SUI1	GO:0003743	GO:0006413	NA
PF09826	58	58	38	36	45	81	Beta propeller domain	NA	NA	NA
PF05235	58	40	50	40	39	70	CHAD domain	NA	NA	NA
PF05226	58	56	53	42	44	107	CHASE2 domain	NA	NA	NA
PF01928	58	54	41	45	65	129	CYTH domain	NA	NA	NA
PF00455	58	45	47	23	42	76	DeoR C terminal sensor domain	NA	NA	NA
PF01068	58	44	37	42	52	110	ATP dependent DNA ligase domain	GO:0003910,GO:0005524	GO:0006281,GO:0006310	NA
PF13511	58	33	65	41	39	43	Domain of unknown function (DUF4124)	NA	NA	NA
PF06078	58	15	66	27	23	31	Bacterial protein of unknown function (DUF937)	NA	NA	NA
PF03465	58	59	31	43	50	70	eRF1 domain 3	NA	NA	NA
PF02844	58	39	66	41	52	123	Phosphoribosylglycinamide synthetase, N domain	GO:0004637	GO:0009113	NA
PF02885	58	40	45	26	40	85	Glycosyl transferase family, helical bundle domain	NA	NA	NA
PF07068	58	18	73	27	41	29	Major capsid protein Gp23	NA	NA	GO:0019012,GO:0019028
PF14497	58	39	37	27	45	63	Glutathione S-transferase, C-terminal domain	NA	NA	NA
PF02854	58	76	31	52	113	61	MIF4G domain	GO:0003723,GO:0005515	NA	NA
PF02391	58	32	64	38	45	89	MoaE protein	NA	GO:0006777	NA
PF01276	58	41	39	43	45	90	Orn/Lys/Arg decarboxylase, major domain	GO:0003824	NA	NA
PF03051	58	33	37	35	33	76	Peptidase C1-like family	GO:0004197	GO:0006508	NA
PF09361	58	99	20	67	86	133	Phasin protein	NA	NA	NA
PF00628	58	79	41	43	71	59	PHD-finger	GO:0005515	NA	NA
PF02567	58	45	66	37	46	140	Phenazine biosynthesis-like protein	GO:0003824	GO:0009058	NA
PF01405	58	21	43	58	42	32	Photosystem II reaction centre T protein	NA	GO:0015979	GO:0009523,GO:0009539,GO:0016020
PF06508	58	52	61	41	52	164	Queuosine biosynthesis protein QueC	NA	NA	NA
PF07508	58	55	41	47	27	116	Recombinase	GO:0000150,GO:0003677	NA	NA
PF00017	58	64	15	43	88	108	SH2 domain	NA	NA	NA
PF07366	58	36	45	42	52	69	SnoaL-like polyketide cyclase	NA	NA	NA
PF02586	58	33	41	38	34	128	SOS response associated peptidase (SRAP)	NA	NA	NA
PF00838	58	73	34	57	43	86	Translationally controlled tumour protein	NA	NA	NA
PF07593	58	55	91	32	62	147	ASPIC and UnbV	NA	NA	NA
PF03795	58	37	65	36	45	66	YCII-related domain	NA	NA	NA
PF00950	57	56	83	44	54	221	ABC 3 transport family	GO:0005524,GO:0042626	GO:0006810	GO:0016020
PF01383	57	17	59	31	11	9	CpcD/allophycocyanin linker domain	NA	NA	GO:0030089
PF11412	57	24	52	30	35	70	Disulphide bond corrector protein DsbC	NA	NA	NA
PF13202	57	58	43	53	226	102	EF hand	GO:0005509	NA	NA
PF01115	57	55	27	33	33	39	F-actin capping protein, beta subunit	NA	GO:0051016	GO:0008290
PF13230	57	76	59	80	63	137	Glutamine amidotransferases class-II	NA	NA	NA
PF03632	57	93	58	54	80	195	Glycosyl hydrolase family 65 central catalytic domain	GO:0003824	GO:0005975	NA
PF01726	57	35	59	35	59	60	LexA DNA binding domain	GO:0004252	GO:0006508	NA
PF10672	57	49	62	34	43	126	S-adenosylmethionine-dependent methyltransferase	GO:0008168	NA	NA
PF01957	57	49	53	62	71	139	NfeD-like C-terminal, partner-binding	NA	NA	NA
PF07167	57	92	46	79	87	157	Poly-beta-hydroxybutyrate polymerase (PhaC) N-terminus	NA	GO:0042619	NA
PF03364	57	31	41	31	38	64	Polyketide cyclase / dehydrase and lipid transport	NA	NA	NA
PF13089	57	90	49	72	64	118	Polyphosphate kinase N-terminal domain	NA	NA	NA
PF02646	57	35	58	30	52	140	RmuC family	NA	NA	NA
PF13531	57	36	63	26	58	125	Bacterial extracellular solute-binding protein	NA	NA	NA
PF13912	57	125	44	111	239	80	C2H2-type zinc finger	GO:0046872	NA	NA
PF02464	56	57	57	49	49	134	Competence-damaged protein	NA	NA	NA
PF01820	56	33	70	34	35	125	D-ala D-ala ligase N-terminus	NA	NA	NA
PF00875	56	24	51	19	23	48	DNA photolyase	NA	NA	NA
PF01712	56	59	89	46	67	113	Deoxynucleoside kinase	NA	NA	NA
PF08850	56	26	32	13	30	45	Domain of unknown function (DUF1820)	NA	NA	NA
PF10415	56	56	44	41	40	92	Fumarase C C-terminus	GO:0016829	GO:0006099	NA
PF01288	56	34	43	42	57	144	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	GO:0003848	GO:0009396	NA
PF16661	56	47	51	33	49	62	Metallo-beta-lactamase superfamily domain	NA	NA	NA
PF12802	56	50	79	55	47	109	MarR family	NA	NA	NA
PF04014	56	36	64	42	43	112	Antidote-toxin recognition MazE, bacterial antitoxin	GO:0003677	NA	NA
PF10433	56	63	24	52	67	51	Mono-functional DNA-alkylating methyl methanesulfonate N-term	NA	NA	NA
PF13570	56	20	73	41	29	25	PQQ-like domain	NA	NA	NA
PF05947	56	30	69	54	45	85	Type VI secretion system, ImpG, VasA, VC_A0110	NA	NA	NA
PF05154	56	30	55	39	49	71	TM2 domain	NA	NA	NA
PF08755	56	40	61	48	44	58	Hemimethylated DNA-binding protein YccV like	GO:0003677	NA	NA
PF05191	55	62	46	35	55	91	Adenylate kinase, active site lid	GO:0004017	NA	NA
PF04715	55	40	65	42	44	104	Anthranilate synthase component I, N terminal region	GO:0016833	GO:0009058	NA
PF02368	55	36	60	42	55	127	Bacterial Ig-like domain (group 2)	NA	NA	NA
PF14403	55	27	43	32	27	75	Circularly permuted ATP-grasp type 2	NA	NA	NA
PF01969	55	40	57	41	58	127	Protein of unknown function DUF111	NA	NA	NA
PF11953	55	25	50	27	47	22	Domain of unknown function (DUF3470)	NA	NA	NA
PF00232	55	48	48	39	100	154	Glycosyl hydrolase family 1	GO:0004553	GO:0005975	NA
PF03033	55	41	55	42	43	101	Glycosyltransferase family 28 N-terminal domain	GO:0016758	GO:0005975,GO:0030259	NA
PF08029	55	19	28	19	37	54	HisG, C-terminal domain	GO:0000287,GO:0003879	GO:0000105	GO:0005737
PF13452	55	34	55	23	58	82	N-terminal half of MaoC dehydratase	NA	NA	NA
PF03637	55	67	36	48	50	53	Mob1/phocein family	NA	NA	NA
PF01778	55	39	22	32	136	48	Ribosomal L28e protein family	NA	NA	NA
PF07277	55	25	65	28	63	30	SapC	NA	NA	NA
PF03313	55	46	62	42	42	142	Serine dehydratase alpha chain	NA	NA	NA
PF02657	55	16	56	15	37	47	Fe-S metabolism associated domain	NA	NA	NA
PF02342	55	21	40	25	30	106	TerD domain	NA	GO:0006950	NA
PF09723	55	40	48	32	37	42	Zinc ribbon domain	NA	NA	NA
PF03960	54	52	60	45	50	107	ArsC family	NA	NA	NA
PF01152	54	48	57	39	69	63	Bacterial-like globin	GO:0019825	NA	NA
PF06452	54	45	49	30	47	88	Carbohydrate family 9 binding domain-like	GO:0004553,GO:0030246	GO:0016052	NA
PF04515	54	68	36	75	58	39	Plasma-membrane choline transporter	NA	NA	NA
PF03091	54	39	48	24	40	66	CutA1 divalent ion tolerance protein	NA	GO:0010038	NA
PF13699	54	42	63	31	39	90	Domain of unknown function (DUF4157)	NA	NA	NA
PF04339	54	29	78	27	26	94	Peptidogalycan biosysnthesis/recognition	NA	NA	NA
PF13484	54	71	56	80	69	217	4Fe-4S double cluster binding domain	NA	NA	NA
PF03808	54	25	49	31	33	89	Glycosyl transferase WecB/TagA/CpsF family	NA	GO:0009058	NA
PF04965	54	30	41	25	37	46	Gene 25-like lysozyme	NA	NA	NA
PF01652	54	64	37	42	56	70	Eukaryotic initiation factor 4E	GO:0003723,GO:0003743	GO:0006413	GO:0005737
PF01784	54	23	64	34	42	117	NIF3 (NGG1p interacting factor 3)	NA	NA	NA
PF04191	54	41	45	33	57	122	Phospholipid methyltransferase	NA	NA	NA
PF03900	54	12	34	18	28	45	Porphobilinogen deaminase, C-terminal domain	GO:0004418	GO:0033014	NA
PF04151	54	43	52	27	46	49	Bacterial pre-peptidase C-terminal domain	NA	NA	NA
PF02036	54	55	52	63	84	83	SCP-2 sterol transfer family	NA	NA	NA
PF01668	54	39	60	26	34	84	SmpB protein	GO:0003723	NA	NA
PF13186	54	57	52	66	63	116	Iron-sulfur cluster-binding domain	NA	NA	NA
PF01906	54	56	58	44	51	126	Putative heavy-metal-binding	NA	NA	NA
PF00569	54	51	39	53	46	45	Zinc finger, ZZ type	GO:0008270	NA	NA
PF14535	53	24	49	29	55	84	AMP-binding enzyme C-terminal domain	NA	NA	NA
PF05279	53	29	78	61	70	43	Aspartyl beta-hydroxylase N-terminal region	NA	NA	GO:0016020
PF13727	53	40	48	33	41	83	CoA-binding domain	NA	NA	NA
PF05187	53	29	42	31	46	64	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S	GO:0004174	GO:0055114	NA
PF02055	53	27	52	29	30	100	O-Glycosyl hydrolase family 30	GO:0004348	GO:0006665	NA
PF14696	53	92	37	60	78	107	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal	NA	NA	NA
PF13418	53	35	47	42	55	59	Galactose oxidase, central domain	NA	NA	NA
PF13921	53	32	34	47	36	47	Myb-like DNA-binding domain	NA	NA	NA
PF02747	53	54	29	49	59	64	Proliferating cell nuclear antigen, C-terminal domain	GO:0003677	GO:0006275	NA
PF08530	53	71	78	55	58	160	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain	GO:0008239	NA	NA
PF01163	53	32	53	29	38	81	RIO1 family	NA	NA	NA
PF13466	53	29	49	27	48	53	STAS domain	NA	NA	NA
PF03134	53	57	26	45	39	97	TB2/DP1, HVA22 family	NA	NA	NA
PF05099	53	43	48	35	37	74	Tellurite resistance protein TerB	NA	NA	NA
PF03741	53	65	76	44	57	117	Integral membrane protein TerC family	NA	NA	GO:0016021
PF02511	53	32	48	24	40	96	Thymidylate synthase complementing protein	GO:0050660,GO:0050797	GO:0006231	NA
PF13432	53	33	63	36	32	52	Tetratricopeptide repeat	NA	NA	NA
PF01988	53	67	41	62	48	88	VIT family	NA	NA	NA
PF03352	52	42	68	32	42	127	Methyladenine glycosylase	GO:0008725	GO:0006284	NA
PF04427	52	34	29	32	37	42	Brix domain	NA	NA	NA
PF13546	52	62	65	42	32	126	DDE superfamily endonuclease	NA	NA	NA
PF08340	52	47	70	28	46	97	Domain of unknown function (DUF1732)	NA	NA	NA
PF03883	52	19	42	24	26	65	Protein of unknown function (DUF328)	NA	NA	NA
PF05091	52	48	21	36	67	54	Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)	GO:0003743	NA	GO:0005737,GO:0005852
PF05996	52	18	54	26	33	18	Ferredoxin-dependent bilin reductase	GO:0016636,GO:0050897	GO:0010024,GO:0055114	NA
PF08335	52	38	57	26	35	111	GlnD PII-uridylyltransferase	GO:0016779	NA	NA
PF02685	52	37	47	33	39	98	Glucokinase	GO:0004340,GO:0005524	GO:0006096,GO:0051156	NA
PF13795	52	57	89	42	54	181	HupE / UreJ protein	NA	NA	NA
PF13012	52	41	36	44	37	46	Maintenance of mitochondrial structure and function	NA	NA	NA
PF03888	52	38	55	30	35	44	MucB/RseB family	NA	NA	NA
PF01497	52	43	59	43	46	119	Periplasmic binding protein	GO:0005488	NA	NA
PF00235	52	56	47	43	41	45	Profilin	NA	NA	NA
PF08497	52	33	57	34	48	83	Radical SAM N-terminal	NA	NA	NA
PF01290	52	62	12	34	42	31	Thymosin beta-4 family	GO:0003785	GO:0007015	NA
PF01921	52	23	39	19	30	65	tRNA synthetases class I (K)	NA	NA	NA
PF02542	52	42	67	36	58	138	YgbB family	GO:0008685	GO:0016114	NA
PF08327	51	19	44	39	46	88	Activator of Hsp90 ATPase homolog 1-like protein	NA	GO:0006950	NA
PF04857	51	39	12	32	31	42	CAF1 family ribonuclease	NA	NA	GO:0005634
PF03174	51	25	36	36	40	74	Chitobiase/beta-hexosaminidase C-terminal domain	NA	NA	NA
PF02552	51	15	23	19	12	13	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit	NA	GO:0019385	NA
PF03104	51	43	30	36	43	60	DNA polymerase family B, exonuclease domain	GO:0008408	NA	NA
PF11680	51	12	58	26	45	34	Protein of unknown function (DUF3276)	NA	NA	NA
PF01873	51	41	26	27	53	42	Domain found in IF2B/IF5	GO:0003743	GO:0006413	NA
PF01105	51	71	24	42	69	74	emp24/gp25L/p24 family/GOLD	NA	GO:0006810	GO:0016021
PF02955	51	55	49	26	56	95	Prokaryotic glutathione synthetase, ATP-grasp domain	GO:0004363,GO:0005524	GO:0006750	NA
PF05860	51	29	59	36	40	59	haemagglutination activity domain	NA	NA	NA
PF13659	51	49	66	52	42	162	Methyltransferase domain	NA	NA	NA
PF07978	51	36	55	36	33	43	NIPSNAP	NA	NA	NA
PF07691	51	54	71	44	62	61	PA14 domain	NA	NA	NA
PF03577	51	47	50	41	49	122	Peptidase family C69	GO:0016805	GO:0006508	NA
PF05402	51	11	20	13	14	19	Coenzyme PQQ synthesis protein D (PqqD)	NA	NA	NA
PF02378	51	15	64	29	22	80	Phosphotransferase system, EIIC	GO:0008982	GO:0009401	GO:0016020
PF01667	51	55	43	64	61	47	Ribosomal protein S27	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF16321	51	37	42	38	34	62	Sigma 54 modulation/S30EA ribosomal protein C terminus	NA	NA	NA
PF01028	51	35	27	33	49	53	Eukaryotic DNA topoisomerase I, catalytic core	GO:0003677,GO:0003918	GO:0006265	NA
PF02919	51	38	27	29	33	36	Eukaryotic DNA topoisomerase I, DNA binding fragment	GO:0003677,GO:0003917	GO:0006265	GO:0005694
PF03635	51	58	30	44	53	51	Vacuolar protein sorting-associated protein 35	GO:0008565	GO:0015031,GO:0042147	GO:0030904
PF05762	51	36	53	26	50	102	VWA domain containing CoxE-like protein	NA	NA	NA
PF09364	51	35	29	18	26	36	XFP N-terminal domain	NA	NA	NA
PF02325	51	26	57	18	38	61	YGGT family	NA	NA	GO:0016020
PF04392	50	61	59	54	59	111	ABC transporter substrate binding protein	NA	NA	NA
PF13857	50	65	35	46	104	77	Ankyrin repeats (many copies)	NA	NA	NA
PF16036	50	12	51	25	18	24	Chalcone isomerase-like	GO:0016872	NA	NA
PF00186	50	32	66	35	39	125	Dihydrofolate reductase	GO:0004146	GO:0006545,GO:0009165,GO:0055114	NA
PF02481	50	52	65	43	60	161	DNA recombination-mediator protein A	NA	GO:0009294	NA
PF06627	50	35	60	40	40	36	Protein of unknown function (DUF1153)	NA	NA	NA
PF07755	50	34	40	37	32	78	Protein of unknown function (DUF1611)	NA	NA	NA
PF04070	50	9	40	14	12	4	Domain of unknown function (DUF378)	NA	NA	NA
PF14252	50	48	59	49	65	152	Domain of unknown function (DUF4347)	NA	NA	NA
PF06155	50	32	42	26	37	77	Protein of unknown function (DUF971)	NA	NA	NA
